category,subcat,style,gauge,length,notes
machine screw,pan head,,#6-32,"1/4""",
machine screw,pan head,,#6-32,"3/8""",
machine screw,pan head,,#6-32,"1/2""",
machine screw,pan head,,#8-32,"1/4""",
machine screw,pan head,,#8-32,"3/8""",
machine screw,pan head,,#8-32,"1/2""",
machine screw,pan head,,#10-32,"3/8""",
machine screw,pan head,,#10-32,"1/2""",
machine screw,pan head,,#10-32,"3/4""",
machine screw,pan head,,"1/4""-20","1/2""",
machine screw,pan head,,"1/4""-20","3/4""",
machine screw,pan head,,"1/4""-20","1""",
machine screw,flat head,,#6-32,"1/4""",
machine screw,flat head,,#6-32,"3/8""",
machine screw,flat head,,#6-32,"1/2""",
machine screw,flat head,,#8-32,"1/4""",
machine screw,flat head,,#8-32,"3/8""",
machine screw,flat head,,#8-32,"1/2""",
machine screw,flat head,,#10-32,"3/8""",
machine screw,flat head,,#10-32,"1/2""",
machine screw,flat head,,#10-32,"3/4""",
machine screw,flat head,,"1/4""-20","1/2""",
machine screw,flat head,,"1/4""-20","3/4""",
machine screw,flat head,,"1/4""-20","1""",
,,,,,
,,,,,
nut,hex,,#6-32,,
nut,hex,,#10-32,,
nut,hex,,#8-32,,
nut,hex,,"1/4""-20",,
,,,,,
,,,,,
machine screw,pan head,,#10-24,"1""",
machine screw,pan head,,#12-24,"1 1/2""",
machine screw,pan head,,#4-40,"1/2""",
machine screw,pan head,,"5/16""-18","1""",
machine screw,pan head,,"1/4""-28","3/8""",
,,,,,
,,,,,
nut,hex,,#10-24,,
nut,hex,,#12-24,,
nut,hex,,#4-40,,
nut,hex,,"5/16""-18",,
nut,hex,,"1/4""-28",,
,,,,,
,,,,,
washer,flat,,#8,,
washer,flat,,#10,,
washer,flat,,"1/4""",,
washer,flat,,"5/16""",,
washer,flat,,"3/8""",,
washer,flat,,"1/2""",,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
machine screw,socket,,M3,6mm,stainless
machine screw,socket,,M3,8mm,stainless
machine screw,socket,,M3,12mm,stainless
machine screw,socket,,M3,16mm,stainless
machine screw,socket,,M3,20mm,stainless
nut,hex,,M3,,stainless
washer,flat,,M3,,stainless
,,,,,
machine screw,socket,,M4,6mm,stainless
machine screw,socket,,M4,8mm,stainless
machine screw,socket,,M4,12mm,stainless
machine screw,socket,,M4,16mm,stainless
machine screw,socket,,M4,20mm,stainless
machine screw,socket,,M4,25mm,stainless
nut,hex,,M4,,stainless
,,,,,
,,,,,
machine screw,socket,,M5,10mm,stainless
machine screw,socket,,M5,16mm,stainless
machine screw,socket,,M5,20mm,stainless
machine screw,socket,,M5,25mm,stainless
nut,hex,,M5,,stainless
,,,,,
,,,,,
washer,flat nylon,,M2,,
washer,flat nylon,,M2.5,,
washer,flat nylon,,M3,,
washer,flat nylon,,M4,,
washer,flat nylon,,M5,,
washer,flat nylon,,M6,,
washer,flat nylon,,M8,,